,Project ID,Drive Time,Tilt,Azimuth,Panel QTY,System Rating (kW DC),Inverter Manufacturer,Array Type,Squirrel Screen,Consumption Monitoring,Truss / Rafter,"Reinforce-ments",Rough Electrical Inspection,Interconnection Type,Module Length,Module Width,Module Weight,# of Arrays,# of reinforcement,Roof Type,Attachment Type,0 / 1,# of Stories,Install Season,Total Direct Time for Project for Hourly Employees (Including Drive Time),Total # of Days on Site,Total # Hourly Empoyees on Site,Estimated # of Salaried Employees on Site,Estimated Salary Hours,Estimated Total Direct Time,,Estimated Total # of People on Site,Notes,,,,,
,165,31,40,170,26,10.40,Enphase,1,1,1,0,0,0,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,0,2,3,69:30:00,2,4,0,0:00:00,69:30:00,,4,New construction,,,,,
,166,30,26/40,260/170,24,9.36,SolarEdge,1,1,0,0,0,0,A1,69.06,43.15,46.3,3,0,Asphalt Shingles,Flashfoot 2,0,2,1,84:00:00,5,4,0,0:00:00,84:00:00,,4,New construction - lots of trips,,,,,
,167,24,26,190,17,6.63,SolarEdge,1,0,0,0,0,0,A1,69.06,43.15,46.3,1,0,Asphalt Shingles,Flashfoot 2,0,2,1,52:40:00,3,3,0,0:00:00,52:40:00,,3,,,,,,
,168,16,34,205,15,5.85,SolarEdge,1,0,0,0,0,0,A4,69.06,43.15,46.3,2,0,Asphalt Shingles,Flashfoot 2,0,1,1,21:15:00,1,2,0,0:00:00,21:15:00,,2,,,,,,
,169,32,26,90,26,10.40,Enphase,1,1,1,0,0,0,A1,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,0,2,0,56:30:00,2,3,1,18:50:00,75:20:00,,4,,,,,,
,170,14,26,200,20,8.00,Enphase,1,1,1,0,0,0,A1,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,0,2,0,45:20:00,3,3,0,0:00:00,45:20:00,,3,,,,,,
,171,37,30,180,20,9.70,SMA,Ground Mount,0,0,2,0,0,A*,87.2,41.1,64.2,1,0,Ground Mount,Ground Mount,1,0,1,83:43:00,2,4,0,0:00:00,83:43:00,,4,,,,,,
,172,19,19,180,16,6.40,Enphase,1,1,0,1,0,0,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,2,2,31:35:00,1,4,0,0:00:00,31:35:00,,4,,,,,,
,173,56,30,180,48,19.20,SMA,Ground Mount,0,0,2,0,0,C*,74,41.1,48.5,2,0,Ground Mount,Ground Mount,0,0,1,141:06:00,4,4,2,70:33:00,211:39:00,,6,,,,,,
,174,36,30,180,9,4.37,SolarEdge,Ground Mount,0,0,2,0,0,A1,87.2,41.1,64.2,1,0,Ground Mount,Ground Mount,1,0,1,107:45:00,3,4,0,0:00:00,107:45:00,,4,,,,,,
,175,43,30,190,9,3.60,SolarEdge,1,1,0,0,0,0,C*,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,1,1,28:30:00,1,3,0,0:00:00,28:30:00,,3,,,,,,
,176,42,26,240/60,50,24.25,SolarEdge,1,1,0,0,0,0,A*,87.2,41.1,64.2,2,0,Asphalt Shingles,RT Mini,0,1,3,128:30:00,5,5,2,51:24:00,179:54:00,,7,This is the time for 2 this project and the one below combined,,,,,
,178,44,40,180,23,8.97,Enphase,1,1,0,0,0,0,A1,69.06,43.15,46.3,1,0,Asphalt Shingles,Flashfoot 2,0,1,1,31:15:00,1,3,0,0:00:00,31:15:00,,3,,,,,,
,179,7,14,260,36,14.40,Enphase,1,1,1,0,0,1,B2,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,0,1,1,38:45:00,2,3,0,0:00:00,38:45:00,,3,,,,,,
